log10(E (MeV)),log10(sigma (barn))
-5.325381783,0.71901407
-5.324865789,0.73726494
-5.324391577,0.756077327
-5.323917882,0.777071774
-5.323562949,0.794385421
-5.323208308,0.813134056
-5.322838537,0.834294403
-5.322438318,0.859100813
-5.322038511,0.885858734
-5.321700444,0.909971512
-5.32139337,0.932987359
-5.321086513,0.956949218
-5.320779871,0.981735363
-5.320473447,1.007198334
-5.320065189,1.041904614
-5.319657357,1.077054846
-5.319249864,1.112152979
-5.318842797,1.146681192
-5.318029762,1.211960913
-5.317218245,1.268979719
-5.316813034,1.293320427
-5.316408243,1.314402675
-5.316003787,1.33192929
-5.315599749,1.345653883
-5.315286855,1.353548761
-5.314954044,1.359233729
-5.314651659,1.361915826
-5.314454257,1.362372719
-5.314138175,1.360955314
-5.313826334,1.356954674
-5.313524774,1.350631734
-5.313223424,1.341922777
-5.312922284,1.330868651
-5.312621309,1.317526671
-5.312220405,1.296309098
-5.311819828,1.271382684
-5.311219696,1.227675237
-5.310251621,1.14400349
-5.309825805,1.103499471
-5.309369625,1.058696691
-5.309055576,1.027469522
-5.30874171,0.99631786
-5.308428114,0.965557977
-5.308161729,0.93994964
-5.307895465,0.915025062
-5.307629407,0.890949061
-5.307363511,0.867868833
-5.307097778,0.845910279
-5.306832207,0.825176051
-5.306566757,0.805742745
-5.306301511,0.787661564
-5.305989671,0.7681533
-5.305678014,0.750549971
-5.305366621,0.734810707
-5.30505541,0.720861878
-5.304744464,0.708604693
-5.304433698,0.697923397
-5.303968008,0.684580397
-5.303564801,0.67532035
-5.303069081,0.666439538
-5.302573925,0.659903181
-5.302079292,0.655311446
-5.301523559,0.652055751
-5.300906878,0.650365134
-5.300598888,0.650154667
-5.299676139,0.651582011
-5.298755389,0.655480643
-5.297530722,0.663567319
-5.29618759,0.675362723
-5.294727059,0.690904377
-5.293271424,0.708692271
-5.29182065,0.728366608
-5.290331871,0.75033989
-5.288805451,0.774560101
-5.287284418,0.800246108
-5.285768692,0.827240581
-5.28424756,0.855587232
-5.282721174,0.885136154
-5.281200135,0.915498081
-5.279684403,0.946454181
-5.2779459,0.982508537
-5.276965522,1.002956191
-5.27501138,1.04361225
-5.273273185,1.079308259
-5.27096631,1.12556057
-5.268648751,1.170401987
-5.26616144,1.214114734
-5.265025206,1.23021053
-5.264007693,1.241126426
-5.263108077,1.247460619
-5.262166765,1.250635169
-5.261747948,1.250992747
-5.260657229,1.249459149
-5.258438836,1.240744612
-5.25618674,1.232455522
-5.252004911,1.220323507
-5.24887467,1.208354005
-5.24467578,1.190629998
-5.242591425,1.183041473
-5.240517061,1.17731901
-5.238761636,1.174411668
-5.237013242,1.173693339
-5.235067431,1.175914349
-5.233613809,1.179957718
-5.232114248,1.18653997
-5.230594597,1.195985867
-5.229080244,1.208479651
-5.228073578,1.218644853
-5.227069275,1.230382801
-5.226067255,1.243784493
-5.225067575,1.258940273
-5.224070157,1.275937071
-5.223075024,1.294852995
-5.2220822,1.315750772
-5.221091607,1.338667573
-5.220103302,1.363601771
-5.219363538,1.383594232
